Reference, Value, Footprint, Datasheet, fader
"C2","0.1u","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~", fader
"C1","10u","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~", fader
"J1","Conn_01x05_Male","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Horizontal","~", fader
"J3","Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal","~", fader
"R1","10k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~", fader
"J2","0.1u","Connector_PinHeader_2.54mm:PinHeader_2x09_P2.54mm_Horizontal","~", fader
"C3","0.1u","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~", fader
"C4","0.1u","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~", fader
"C5","0.1u","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~", fader
"C6","0.1u","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~", fader
"C7","0.1u","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~", fader
"C8","0.1u","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~", fader
"C9","0.1u","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~", fader
"C10","0.1u","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~", fader
"U1","4051","Package_DIP:DIP-16_W7.62mm","http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4051bms-52bms-53bms.pdf", fader
"R2","10k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~", fader
"R3","10k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~", fader
"R4","10k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~", fader
"R5","10k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~", fader
"R6","10k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~", fader
"R7","10k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~", fader
"R8","10k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~", fader
"R9","10k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~", fader
"R10","10k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~", fader
